name,city,country,latitude,longitude,type
IT9LCN,,,37.56688,15.04511,LEO Ground Station
PA7TON,,,51.01167,5.8375,LEO Ground Station
Apomahon,,,38.048,23.739,LEO Ground Station
Talos,,,35.501,24.011,LEO Ground Station
W2BFJ,,,42.744,-71.538,LEO Ground Station
VK5QI-70CM,,,-34.7207,138.6927,LEO Ground Station
PSU-EB  UniClOGS,,,45.509,-122.681,LEO Ground Station
oe8rke,,,46.839,15.012,LEO Ground Station
N5CNB-UHF,,,29.85469,-96.53481,LEO Ground Station
PV8DX,,,2.811185,-60.680964,LEO Ground Station
M0IEB/M,,,51.245,-0.558,LEO Ground Station
SOSA-OBSPE,,,48.63,18.341,LEO Ground Station
IQ1RY ARI Sezione di Bra,,,44.699353,7.8365017,LEO Ground Station
DF3LZ,,,53.451984,10.221032,LEO Ground Station
KO2F-VHF-1,,,38.555972,-78.062523,LEO Ground Station
KO2F-UHF-1,,,38.555972,-78.062523,LEO Ground Station
AAUSAT GND,,,57.014,9.986,LEO Ground Station
VK5QI-AZ/EL,,,-34.7207,138.6927,LEO Ground Station
F6CNB-UHF,,,48.69,2.14,LEO Ground Station
"AB3DC - Detroit, MI",,,42.408,-83.441,LEO Ground Station
LRG Ground Station,,,48.0468,11.6581,LEO Ground Station
PI9RD,,,52.812,6.396,LEO Ground Station
IFSC,,,-27.608,-48.633,LEO Ground Station
DL0XK,,,49.4257164,7.7575714,LEO Ground Station
VE3RAO-1,,,43.811,-79.615,LEO Ground Station
Marcs-UHF,,,48.64358,2.231068,LEO Ground Station
F4KLD,,,43.563,1.469,LEO Ground Station
"KB4NKO - Jonesboro, VA, US UHF",,,37.786568,-78.983486,LEO Ground Station
DE-FRE-VHF,,,52.483,7.55,LEO Ground Station
F6KRK RX WX,,,48.778,2.022,LEO Ground Station
Gray Eagle,,,39.963495,-85.929823,LEO Ground Station
BEEGND-2 (Broken),,,52.069523,12.672224,LEO Ground Station
Welland,,,52.594,-0.541,LEO Ground Station
White Rock New Mexico,,,35.8185157,-106.2119891,LEO Ground Station
VE2WI - UHF,,,45.419841,-73.464994,LEO Ground Station
LA4TSA,,,59.957,10.762,LEO Ground Station
Bad Homburg,,,50.217,8.641,LEO Ground Station
SATNOGS-PI4,,,64.13628661246054,18.985694689155824,LEO Ground Station
LZ2SAT,,,43.413,24.618,LEO Ground Station
MANU F4HSE,,,48.042,7.413,LEO Ground Station
Villanova CubeSat Club W3YP,,,40.038,-75.349,LEO Ground Station
F1SXJ,,,46.09548,3.95305,LEO Ground Station
HB9FXX UHF,,,46.64,6.636,LEO Ground Station
Hanoi satellite station,,,21.037588,105.813008,LEO Ground Station
EA1JBS - StationPueblu1,,,43.3804059,-3.8537428,LEO Ground Station
The Garage,,,56.972489,10.104595,LEO Ground Station
EX-EN90-VHF,,,40.412,-80.013,LEO Ground Station
ITR UHF,,,-34.813,138.62,LEO Ground Station
Eddyosp-UHF,,,19.31,-99.149,LEO Ground Station
ITR VHF,,,-34.813,138.62,LEO Ground Station
PE0SAT-12,,,51.721268,5.029968,LEO Ground Station
Pete (vk2pet),,,-34.743,148.84,LEO Ground Station
VK2PET #2 Trial Station,,,-34.743,148.84,LEO Ground Station
AAS Ager Carballada,,,42.019,0.7444,LEO Ground Station
CHESAPEAKE VHF,,,39.223219,-76.069605,LEO Ground Station
Vi3w Roy4l,,,48.454598,-123.441462,LEO Ground Station
F5LZN,,,44.1797,5.103,LEO Ground Station
VK3YYZ-UHF-Omni,,,-38.30873,142.35114,LEO Ground Station
Shed S-band Helix,,,41.445,-81.961,LEO Ground Station
CHESAPEAKE UHF,,,39.218626,-76.079156,LEO Ground Station
VZLU-PRG UHF+VHF Yagi,,,50.132431,14.515841,LEO Ground Station
HB9FXX VHF,,,46.64,6.636,LEO Ground Station
Vi3w Roy4l NOAA,,,48.455,-123.441,LEO Ground Station
Astre'Nogs Nanostar ISAE-SUPAERO 01,,,43.6044,1.444,LEO Ground Station
OM7AAK,,,48.336,17.448,LEO Ground Station
AarhusUniversity_UHF Satellite Ground Station,,,56.17188,10.18835,LEO Ground Station
ConSat,,,53.21959,-2.74472,LEO Ground Station
IESTrinidadArroyo,,,42.00955,-4.52406,LEO Ground Station
LU1CJM-1,,,-34.576,-58.477,LEO Ground Station
K2MST - Musuem of Science & Technology,,,43.047,-76.156,LEO Ground Station
M7CBR - VHF Turnstile,,,53.728,-2.356,LEO Ground Station
PI9RD-V,,,52.812,6.396,LEO Ground Station
Piszkesteto UHF,,,47.917,19.895,LEO Ground Station
"K3TZ - Palm Bay, FL",,,27.943,-80.668,LEO Ground Station
M0KSF,,,51.244,-0.588,LEO Ground Station
PE2BZ docker test,,,52.0,4.1999,LEO Ground Station
ExpoSat-UHF,,,43.535,-5.661,LEO Ground Station
DL5FAB VHF/UHF/L-Band,,,49.8590291,8.6598246,LEO Ground Station
VK6SAT - VHF Dev,,,-31.763,115.759,LEO Ground Station
LB-HN,,,21.058337,105.90704,LEO Ground Station
rommac vhf qfh,,,33.28849,-111.86859,LEO Ground Station
USU GAS Yagi Az+El,,,41.743,-111.807,LEO Ground Station
KJ7SU - Subprime,,,45.462,-122.727,LEO Ground Station
Roane State Tamke-Allan Observatory,,,35.8326294,-84.6178183,LEO Ground Station
G6UQZ,,,52.079,0.582,LEO Ground Station
LX2MT,,,49.736,6.118,LEO Ground Station
TA2VG - FERHAT BOZOKLU,,,39.957,32.611,LEO Ground Station
